                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3245,                0.74556,                  1.258,                 1.3879,                0.89517,                 1.2584,                0.83745,                0.77556,                0.85338,                0.38056,                 1.8147,                0.75112,                 1.2152,                 1.9961,                 0.9026,                 1.2473,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.1417,                0.51487,                 1.1515,                 1.2184,                0.47636,                 1.1701,                0.84559,                0.75138,                0.84338,                0.38143,                 1.8107,                 0.7455,                 1.2019,                 1.9859,                0.88331,                  1.224,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.1524,                0.54263,                 1.1702,                 1.2342,                0.49786,                 1.1911,                0.72212,                 0.6244,                0.68361,                0.24526,                 2.1928,                 1.0293,                 1.3885,                 2.3701,                 1.2016,                 1.3989,              0.0097965,              0.0097965,              0.0097965
                      4,                 1.1543,                0.54944,                 1.1735,                 1.2451,                0.50673,                  1.201,                0.80372,                 0.7088,                0.77833,                0.32787,                 1.9341,                0.83381,                 1.2954,                 2.1394,                 0.9604,                 1.3277,               0.009703,               0.009703,               0.009703
                      5,                 1.0962,                0.50812,                 1.1585,                 1.1774,                0.46349,                 1.1807,                0.82432,                0.66054,                 0.7618,                0.31009,                 2.0111,                0.94307,                  1.302,                 2.1507,                 1.1746,                 1.3174,               0.009703,               0.009703,               0.009703
                      6,                 1.0624,                0.48494,                 1.1426,                   1.14,                0.43856,                 1.1639,                0.77238,                0.69882,                0.76444,                0.31563,                 1.9809,                0.81996,                 1.3095,                  2.167,                0.97513,                 1.3306,               0.009604,               0.009604,               0.009604
                      7,                  1.031,                0.46466,                 1.1312,                 1.1048,                0.41915,                 1.1509,                 0.8372,                0.72129,                0.80024,                0.33635,                 1.9628,                0.81051,                 1.2741,                  2.121,                0.96141,                 1.2843,               0.009505,               0.009505,               0.009505
                      8,                 1.0119,                0.44993,                 1.1217,                 1.0843,                0.40141,                 1.1409,                0.85412,                0.58923,                0.72584,                0.31042,                 2.0017,                 1.1977,                 1.3244,                 2.1602,                 1.6649,                 1.3215,               0.009406,               0.009406,               0.009406
                      9,                0.99234,                0.43956,                 1.1163,                 1.0609,                0.39258,                  1.134,                0.88381,                0.76947,                0.84489,                0.37626,                 1.8637,                0.74069,                 1.2338,                 2.0196,                0.84099,                 1.2436,               0.009307,               0.009307,               0.009307
                     10,                0.98469,                0.43356,                 1.1104,                 1.0522,                0.38303,                 1.1282,                0.85683,                0.57359,                 0.6916,                0.29186,                 2.0059,                  1.074,                  1.306,                 2.1602,                 1.6746,                 1.3009,               0.009208,               0.009208,               0.009208
